DEPTH,GR,PHIT
11723,64.499,0.271
11723.5,64.618,0.285
11724,62.39,0.299
11724.5,62.39,0.3052
11725,60.771,0.2979
11725.5,61.704,0.2912
11726,61.198,0.2923
11726.5,61.52,0.3103
11727,59.664,0.3361
11727.5,57.817,0.363
11728,56.691,0.3787
11728.5,53.778,0.3787
11729,55.329,0.3596
11729.5,55.462,0.3389
11730,60.403,0.3119
11730.5,60.709,0.2923
11731,66.898,0.2727
11731.5,67.992,0.2441
11732,70.592,0.2278
11732.5,68.673,0.2194
11733,71.489,0.2239
11733.5,72.293,0.2439
11734,75.685,0.231
11734.5,76.489,0.2277
11735,76.056,0.2303
11735.5,74.076,0.2361
11736,73.922,0.2387
11736.5,75.086,0.2419
11737,76.137,0.2413
11737.5,76.477,0.2426
11738,77.529,0.24
11738.5,79.584,0.2361
11739,80.868,0.2297
11739.5,78.394,0.2265
11740,74.99,0.2232
11740.5,72.533,0.2213
11741,75.936,0.2148
11741.5,76.864,0.211
11742,78.699,0.211
11742.5,75.347,0.2135
11743,75.644,0.2148
11743.5,75.662,0.2181
11744,77.282,0.2194
11744.5,77.098,0.2187
11745,77.841,0.2239
11745.5,78.033,0.2244
11746,76.318,0.2631
11746.5,69.933,0.2974
11747,65.534,0.3063
11747.5,63.597,0.2833
11748,67.383,0.2525
11748.5,69.177,0.2508
11749,65.094,0.3002
11749.5,55.864,0.34
11750,49.051,0.3366
11750.5,53.443,0.3063
11751,61.642,0.2626
11751.5,68.948,0.234
11752,70.742,0.2227
11752.5,70.895,0.2183
11753,74.127,0.2037
11753.5,76.787,0.2284
11754,80.292,0.2297
11754.5,80.788,0.2342
11755,80.379,0.2076
11755.5,79.423,0.2329
11756,82.194,0.2271
11756.5,83.667,0.2226
11757,83.116,0.2245
11757.5,80.332,0.2265
11758,76.36,0.229
11758.5,78.06,0.202
11759,76.34,0.2297
11759.5,79.309,0.2271
11760,74.76,0.1981
11760.5,76.431,0.1997
11761,76.184,0.1997
11761.5,75.251,0.207
11762,67.643,0.2547
11762.5,59.415,0.3159
11763,56.816,0.3585
11763.5,55.593,0.3703
11764,54.488,0.372
11764.5,52.967,0.3815
11765,50.595,0.3871
11765.5,51.028,0.3989
11766,50.374,0.4096
11766.5,50.564,0.4141
11767,50.927,0.4157
11767.5,50.142,0.4169
11768,50.41,0.4197
11768.5,49.448,0.4258
11769,46.218,0.4208
11769.5,46.742,0.395
11770,45.168,0.349
11770.5,47.272,0.3103
11771,44.273,0.3119
11771.5,44.466,0.3271
11772,43.861,0.3305
11772.5,44.774,0.3378
11773,44.724,0.3495
11773.5,43.938,0.3647
11774,44.837,0.3563
11774.5,45.939,0.3254
11775,47.145,0.2985
11775.5,50.744,0.28
11776,53.899,0.2839
11776.5,58.018,0.2889
11777,62.15,0.2923
11777.5,67.042,0.2772
11778,71.514,0.2626
11778.5,66.899,0.2682
11779,61.832,0.2833
11779.5,59.419,0.2884
11780,63.934,0.2704
11780.5,67.348,0.2631
11781,67.275,0.271
11781.5,65.527,0.2912
11782,64.395,0.3002
11782.5,63.566,0.2962
11783,62.607,0.2895
11783.5,61.69,0.2845
11784,63.284,0.2805
11784.5,64.533,0.2721
11785,67.18,0.2682
11785.5,64.738,0.2777
11786,64.688,0.2884
11786.5,65.277,0.2979
11787,66.595,0.2946
11787.5,67.244,0.2889
11788,66.514,0.2788
11788.5,66.648,0.2856
11789,62.752,0.2968
11789.5,60.486,0.3103
11790,63.349,0.3114
11790.5,66.355,0.2957
11791,67.208,0.2788
11791.5,69.018,0.2682
11792,70.326,0.2631
11792.5,71.631,0.2581
11793,70.412,0.257
11793.5,72.75,0.2704
11794,71.95,0.285
11794.5,67.643,0.2979
11795,64.047,0.2929
11795.5,62.39,0.2873
11796,63.468,0.2861
11796.5,63.733,0.285
11797,63.743,0.2794
11797.5,62.664,0.2794
11798,63.344,0.294
11798.5,63.035,0.3007
11799,63.874,0.2985
11799.5,62.833,0.2839
11800,63.852,0.2912
11800.5,64.701,0.3007
11801,64.498,0.3063
11801.5,63.641,0.3047
11802,59.564,0.3232
11802.5,55.921,0.3422
11803,55.409,0.3495
11803.5,54.621,0.34
11804,56.466,0.3265
11804.5,59.033,0.3187
11805,61.97,0.3058
11805.5,61.846,0.2929
11806,59.278,0.2817
11806.5,59.623,0.2749
11807,62.259,0.2626
11807.5,63.571,0.2598
11808,62.742,0.2654
11808.5,62.388,0.271
11809,60.665,0.2671
11809.5,56.95,0.2716
11810,50.364,0.2805
11810.5,48.369,0.2833
11811,53.587,0.2603
11811.5,60.624,0.2401
11812,65.539,0.2441
11812.5,66.868,0.2542
11813,65.806,0.2609
11813.5,63.059,0.2592
11814,61.43,0.2603
11814.5,62.159,0.2648
11815,63.588,0.2738
11815.5,62.45,0.2817
11816,61.05,0.2749
11816.5,63.746,0.2626
11817,66.574,0.253
11817.5,69.603,0.2581
11818,66.786,0.2626
11818.5,68.945,0.2631
11819,70.432,0.2542
11819.5,75.179,0.2413
11820,74.519,0.2334
11820.5,71.189,0.2469
11821,64.524,0.285
11821.5,60.747,0.3131
11822,60.012,0.3192
11822.5,63.978,0.2912
11823,68.595,0.2502
11823.5,72.481,0.2497
11824,75.586,0.2394
11824.5,73.717,0.2374
11825,71.27,0.2484
11825.5,68.344,0.2379
11826,66.726,0.2631
11826.5,66.846,0.2755
11827,64.627,0.2766
11827.5,64.338,0.2788
11828,61.81,0.285
11828.5,62.949,0.2794
11829,63.321,0.2721
11829.5,65.178,0.257
11830,66.427,0.2491
11830.5,68.922,0.2469
11831,67.903,0.2553
11831.5,64.763,0.2716
11832,62.186,0.2895
11832.5,62.556,0.3002
11833,64.971,0.3075
11833.5,65.571,0.3114
11834,63.883,0.3114
11834.5,61.348,0.3131
11835,60.14,0.3086
11835.5,59.369,0.3091
11836,61.01,0.3018
11836.5,60.85,0.285
11837,63.723,0.2648
11837.5,62.506,0.2721
11838,60.827,0.2951
11838.5,58.014,0.3086
11839,59.256,0.2996
11839.5,60.986,0.2906
11840,60.086,0.2912
11840.5,56.293,0.2962
11841,53.867,0.3007
11841.5,54.286,0.303
11842,55.956,0.3069
11842.5,54.135,0.3119
11843,54.966,0.3075
11843.5,56.161,0.2861
11844,63.236,0.2469
11844.5,69.542,0.2445
11845,74.472,0.2239
11845.5,77.41,0.2258
11846,80.347,0.2284
11846.5,81.893,0.2284
11847,78.824,0.2284
11847.5,75.528,0.2284
11848,74.989,0.231
11848.5,80.197,0.2406
11849,81.334,0.2452
11849.5,80.735,0.2516
11850,77.637,0.2222
11850.5,77.325,0.2233
11851,76.245,0.2211
11851.5,74.615,0.2477
11852,72.649,0.2452
11852.5,73.968,0.2477
11853,75.355,0.2222
11853.5,75.535,0.2261
11854,72.113,0.2306
11854.5,70.197,0.2334
11855,70.557,0.2317
11855.5,70.123,0.2283
11856,72.042,0.2255
